INSERT INTO `zhiyezhuang_tagindex` VALUES('1','唐山工作服定做','2','2023','160','7','99','1341824530','1339732001','1261761377');
INSERT INTO `zhiyezhuang_tagindex` VALUES('217','宾馆','7','23','1','1','2','1338621563','1336697893','1299564621');
INSERT INTO `zhiyezhuang_tagindex` VALUES('218','商场','7','22','2','0','0','1341037812','1341037812','1330491058');
INSERT INTO `zhiyezhuang_tagindex` VALUES('219','工作服 舞蹈服装','10','24','1','2','2','1338897593','1338897593','1299565524');
INSERT INTO `zhiyezhuang_tagindex` VALUES('220','舞蹈','7','18','1','0','0','1340697401','1340697401','1299566138');
INSERT INTO `zhiyezhuang_tagindex` VALUES('221','防护服','7','248','15','4','5','1341468746','1341124590','1329918722');
INSERT INTO `zhiyezhuang_tagindex` VALUES('222','劳保服','1','43','1','0','0','1341815825','1341815825','1299576421');
INSERT INTO `zhiyezhuang_tagindex` VALUES('223','衣服 职业装','6','33','1','0','0','1341188763','1341188763','1300414548');
INSERT INTO `zhiyezhuang_tagindex` VALUES('224','唐装','1','26','1','1','1','1341500996','1341500996','1300415444');
INSERT INTO `zhiyezhuang_tagindex` VALUES('225','运动服','6','34','3','0','2','1340714263','1338976172','1330056595');
INSERT INTO `zhiyezhuang_tagindex` VALUES('226','时尚','6','26','9','1','1','1341219420','1341219420','1341450357');
INSERT INTO `zhiyezhuang_tagindex` VALUES('227','职场','6','19','3','0','2','1341089148','1338622280','1335270493');
INSERT INTO `zhiyezhuang_tagindex` VALUES('228','面料 职业装','6','17','1','1','2','1339241984','1338350325','1315816304');
INSERT INTO `zhiyezhuang_tagindex` VALUES('229','面料 服装','6','18','2','0','3','1341646619','1339116989','1315816775');
INSERT INTO `zhiyezhuang_tagindex` VALUES('230','面料','4','510','16','6','7','1341518431','1341221717','1336533349');
INSERT INTO `zhiyezhuang_tagindex` VALUES('231','六法全书','6','12','1','0','1','1341619795','1340846909','1319362248');
INSERT INTO `zhiyezhuang_tagindex` VALUES('232','办公室里有“冷暴力”','6','20','1','3','3','1337484000','1337484000','1319362410');
INSERT INTO `zhiyezhuang_tagindex` VALUES('233','助你成功','6','22','1','0','0','1341726255','1341726255','1319362599');
INSERT INTO `zhiyezhuang_tagindex` VALUES('234','上班族创业三要三不要','6','13','1','0','2','1341299872','1339117087','1319362824');
INSERT INTO `zhiyezhuang_tagindex` VALUES('235','领导对下属的礼仪','6','31','1','2','6','1340981946','1339816714','1319362990');
INSERT INTO `zhiyezhuang_tagindex` VALUES('236','十二星座上班族','6','20','1','0','1','1341334380','1340588859','1319363157');
INSERT INTO `zhiyezhuang_tagindex` VALUES('237','记得用好下班前5分钟','6','11','1','0','1','1333778986','1331716123','1319363569');
INSERT INTO `zhiyezhuang_tagindex` VALUES('238','中西服饰文化','3','17','1','0','0','1338858422','1338858422','1319458287');
INSERT INTO `zhiyezhuang_tagindex` VALUES('239','中国服饰文化','3','23','1','0','3','1338955261','1337448795','1319458737');
INSERT INTO `zhiyezhuang_tagindex` VALUES('240','教你搭配服装方法','3','12','1','0','0','1338085917','1338085917','1319622233');
INSERT INTO `zhiyezhuang_tagindex` VALUES('241','如何搭配服装的颜色','3','23','1','1','3','1339731431','1339117057','1319622329');
INSERT INTO `zhiyezhuang_tagindex` VALUES('242','工作服展示','5','13','1','0','0','1341424674','1341424674','1319630189');
INSERT INTO `zhiyezhuang_tagindex` VALUES('243','暑期短工理想的尝试','6','13','1','0','0','1338535245','1338535245','1320746162');
INSERT INTO `zhiyezhuang_tagindex` VALUES('244','今天你需要减压了吗？','6','19','1','0','0','1340522335','1340522335','1320746397');
INSERT INTO `zhiyezhuang_tagindex` VALUES('245','怎样才能总有衣服穿','6','18','1','0','0','1341722623','1341722623','1320746530');
INSERT INTO `zhiyezhuang_tagindex` VALUES('246','女人如何宠爱自己','6','28','1','0','5','1341925435','1341066698','1320746989');
INSERT INTO `zhiyezhuang_tagindex` VALUES('247','职场礼仪','6','16','1','0','0','1340604827','1340604827','1320747582');
INSERT INTO `zhiyezhuang_tagindex` VALUES('248','职场礼仪:手机与电脑','6','0','1','0','0','1320747943','1320747943','1320747943');
INSERT INTO `zhiyezhuang_tagindex` VALUES('249','送给老板的礼物','1','13','1','0','0','1341221854','1341221854','1320749494');
INSERT INTO `zhiyezhuang_tagindex` VALUES('250','助你成功的心理定律','1','21','1','1','1','1340886781','1340886781','1320749674');
INSERT INTO `zhiyezhuang_tagindex` VALUES('251','中西服饰之比较','3','34','1','0','5','1341771774','1339955048','1323675988');
INSERT INTO `zhiyezhuang_tagindex` VALUES('252','各种面料 介绍','4','24','1','0','0','1341763897','1341763897','1323676417');
INSERT INTO `zhiyezhuang_tagindex` VALUES('253','牛仔布面料知识','4','15','1','0','0','1338535139','1338535139','1323676544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('254','面料知识   西装','4','12','1','1','1','1341775517','1341775517','1323676681');
INSERT INTO `zhiyezhuang_tagindex` VALUES('255','面料知识','4','18','1','1','1','1341775251','1341775251','1323676830');
INSERT INTO `zhiyezhuang_tagindex` VALUES('256','常见几种面料识别方法','4','16','1','1','1','1341226579','1341226579','1323681724');
INSERT INTO `zhiyezhuang_tagindex` VALUES('257','牛仔布   小常识','4','19','1','0','0','1341689564','1341689564','1323681850');
INSERT INTO `zhiyezhuang_tagindex` VALUES('258','床上面料的知识','4','27','1','1','3','1341803096','1341076845','1323682042');
INSERT INTO `zhiyezhuang_tagindex` VALUES('259','牛仔布分类  基本常识','4','24','1','0','1','1341746172','1341095114','1323682198');
INSERT INTO `zhiyezhuang_tagindex` VALUES('260','内衣面料知识','4','15','1','0','2','1338274352','1337555200','1323682481');
INSERT INTO `zhiyezhuang_tagindex` VALUES('261','保暖内衣面料知识','4','15','1','2','2','1337928319','1337928319','1323682696');
INSERT INTO `zhiyezhuang_tagindex` VALUES('262','服装 判断力','5','7','1','0','0','1338030463','1338030463','1327385746');
INSERT INTO `zhiyezhuang_tagindex` VALUES('263','纺织','5','5','1','1','2','1339707574','1338030609','1327385971');
INSERT INTO `zhiyezhuang_tagindex` VALUES('264','流行 趋势','5','7','1','0','1','1341646327','1340697319','1327386164');
INSERT INTO `zhiyezhuang_tagindex` VALUES('265','运动鞋 帆布鞋','5','18','1','2','1','1337426978','1337748422','1327386649');
INSERT INTO `zhiyezhuang_tagindex` VALUES('266','羊毛衫','5','5','1','0','0','1340862278','1340862278','1327387055');
INSERT INTO `zhiyezhuang_tagindex` VALUES('267','外套','5','4','1','0','0','1341643649','1341643649','1327387287');
INSERT INTO `zhiyezhuang_tagindex` VALUES('268','鞋子','5','7','1','1','3','1338975914','1338030218','1327387556');
INSERT INTO `zhiyezhuang_tagindex` VALUES('269','牛仔裤','5','5','4','1','1','1338511627','1338511627','1336533275');
INSERT INTO `zhiyezhuang_tagindex` VALUES('270','丝绸','4','22','3','2','4','1340795590','1339860550','1328749213');
INSERT INTO `zhiyezhuang_tagindex` VALUES('271','西服 面料','4','3','1','1','0','1337319166','1337850025','1328491384');
INSERT INTO `zhiyezhuang_tagindex` VALUES('272','上海职业装市场招聘','0','2','1','0','1','1339816764','1338239803','1328712663');
INSERT INTO `zhiyezhuang_tagindex` VALUES('273','天津职业装代表招聘','0','1','1','0','0','1337282594','1337282594','1328712676');
INSERT INTO `zhiyezhuang_tagindex` VALUES('274','制服、工作服','0','5','7','0','1','1337623494','1335541580','1330339550');
INSERT INTO `zhiyezhuang_tagindex` VALUES('275','有限公司','0','6','7','0','0','1340689180','1340689180','1330339873');
INSERT INTO `zhiyezhuang_tagindex` VALUES('276','上海','0','1687','33','4','3','1341736511','1341800572','1330494380');
INSERT INTO `zhiyezhuang_tagindex` VALUES('277','问答系统','0','2','6','0','0','1340871134','1340871134','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('278','提问','0','1','6','0','0','1337565715','1337565715','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('279','回答','0','1','6','0','0','1337648504','1337648504','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('280','知识搜索','0','3','6','0','0','1338435953','1338435953','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('281','问问','0','2','6','0','0','1340697394','1340697394','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('282','搜搜','0','2','6','0','1','1339707852','1337537087','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('283','腾讯','0','1','6','0','0','1337551372','1337551372','1330493529');
INSERT INTO `zhiyezhuang_tagindex` VALUES('284','天津职业装','0','1','2','0','0','1337493683','1337493683','1330058066');
INSERT INTO `zhiyezhuang_tagindex` VALUES('285','销售','0','5','7','1','1','1338622206','1338622206','1330060243');
INSERT INTO `zhiyezhuang_tagindex` VALUES('286','合作商机','0','2','2','0','1','1339707653','1337807998','1329917421');
INSERT INTO `zhiyezhuang_tagindex` VALUES('287','天津工作服T:1310','0','0','1','0','0','1328712819','1328712819','1328712819');
INSERT INTO `zhiyezhuang_tagindex` VALUES('288','供求信息，电子商','0','4','2','0','0','1338276938','1338276938','1328757812');
INSERT INTO `zhiyezhuang_tagindex` VALUES('289','集群','0','1','1','0','0','1337822441','1337822441','1328712875');
INSERT INTO `zhiyezhuang_tagindex` VALUES('290','天津','0','617','31','1','35','1341864491','1339464688','1330493596');
INSERT INTO `zhiyezhuang_tagindex` VALUES('291','打造','0','6','3','1','3','1339816327','1338505500','1341450290');
INSERT INTO `zhiyezhuang_tagindex` VALUES('292','王耀珉','0','7','1','0','0','1340697392','1340697392','1328712875');
INSERT INTO `zhiyezhuang_tagindex` VALUES('293','好的天津职业装','0','2','1','0','1','1339707648','1337493799','1328712881');
INSERT INTO `zhiyezhuang_tagindex` VALUES('294','企业','0','10','6','0','1','1341795305','1341689788','1330493801');
INSERT INTO `zhiyezhuang_tagindex` VALUES('295','供应工作服上海工作服','0','2','1','0','0','1340880268','1340880268','1328712899');
INSERT INTO `zhiyezhuang_tagindex` VALUES('296','T恤衫等供应','0','5','1','0','0','1340697475','1340697475','1328712941');
INSERT INTO `zhiyezhuang_tagindex` VALUES('297','天津职业装定做sKC','0','4','1','1','1','1339707888','1339707888','1328712965');
INSERT INTO `zhiyezhuang_tagindex` VALUES('298','河北','0','4','5','0','0','1338621746','1338621746','1330494601');
INSERT INTO `zhiyezhuang_tagindex` VALUES('299','量身定做','0','1','3','0','0','1337508150','1337508150','1329917943');
INSERT INTO `zhiyezhuang_tagindex` VALUES('300','中国','0','157','12','9','16','1341517160','1340886898','1340060639');
INSERT INTO `zhiyezhuang_tagindex` VALUES('301','天津工作','0','4','1','0','0','1341883545','1341883545','1328712991');
INSERT INTO `zhiyezhuang_tagindex` VALUES('302','制服','0','1714','32','3','0','1341582735','1341854449','1341538427');
INSERT INTO `zhiyezhuang_tagindex` VALUES('303','衬衫','0','1638','17','13','2','1341385221','1341754445','1332850589');
INSERT INTO `zhiyezhuang_tagindex` VALUES('304','文化衫','0','2','3','0','1','1338506874','1337696901','1331476521');
INSERT INTO `zhiyezhuang_tagindex` VALUES('305','广告衫','0','5','3','0','0','1337725711','1337725711','1331476521');
INSERT INTO `zhiyezhuang_tagindex` VALUES('306','T恤衫','0','4','5','0','0','1340872892','1340872892','1331476521');
INSERT INTO `zhiyezhuang_tagindex` VALUES('307','防','0','3','1','0','0','1341645294','1341645294','1328713030');
INSERT INTO `zhiyezhuang_tagindex` VALUES('308','天津工作服','0','7','4','0','3','1340430520','1338506785','1330059563');
INSERT INTO `zhiyezhuang_tagindex` VALUES('309','天津工装','0','2','1','0','0','1340697374','1340697374','1328713057');
INSERT INTO `zhiyezhuang_tagindex` VALUES('310','天津工服-02','0','0','1','0','0','1328713057','1328713057','1328713057');
INSERT INTO `zhiyezhuang_tagindex` VALUES('311','天津工服-02 批发','0','0','1','0','0','1328713057','1328713057','1328713057');
INSERT INTO `zhiyezhuang_tagindex` VALUES('312','工作服、制服、天','0','1','1','0','0','1338022718','1338022718','1328713093');
INSERT INTO `zhiyezhuang_tagindex` VALUES('313','供应天津工作服厂家','0','3','1','0','0','1341916736','1341916736','1328713101');
INSERT INTO `zhiyezhuang_tagindex` VALUES('314','今晚报','0','6','1','0','2','1340430597','1338974744','1328713179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('315','报纸','0','3','1','0','1','1334839261','1334152169','1328713179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('316','数字','0','9','1','2','2','1338506613','1338506613','1328713179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('317','网络','0','3','2','1','2','1338622175','1337778847','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('318','报刊','0','5','1','1','1','1340265147','1340265147','1328713179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('319','电子报','0','2','1','0','1','1339116783','1337493672','1328713179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('320','中国供应商','0','4','1','0','0','1341843990','1341843990','1328713197');
INSERT INTO `zhiyezhuang_tagindex` VALUES('321','北京职业装业务招聘','0','4','1','0','1','1338974379','1337483897','1328713289');
INSERT INTO `zhiyezhuang_tagindex` VALUES('322','8定做各类工作服','0','3','1','1','1','1341644196','1341644196','1328713364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('323','防辐射服','0','1','1','0','0','1337711299','1337711299','1328713364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('324','物业西服','0','1','1','0','0','1337740150','1337740150','1328713364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('325','特码校服','0','1','1','0','0','1337522629','1337522629','1328713364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('326','定做加工西装','0','3','1','0','2','1339733782','1337619570','1328713364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('327','定制','0','178','19','5','19','1341518383','1340588884','1341450323');
INSERT INTO `zhiyezhuang_tagindex` VALUES('328','新浪','0','3','1','1','2','1339117259','1337536954','1328713444');
INSERT INTO `zhiyezhuang_tagindex` VALUES('329','欧铂门','0','1','1','0','0','1333981758','1333981758','1328713444');
INSERT INTO `zhiyezhuang_tagindex` VALUES('330','伴娘','0','1','1','0','0','1337551300','1337551300','1328713598');
INSERT INTO `zhiyezhuang_tagindex` VALUES('331','旗袍','0','2','1','0','1','1339707795','1337493790','1328713598');
INSERT INTO `zhiyezhuang_tagindex` VALUES('332','演出服','0','4','1','0','0','1340697425','1340697425','1328713598');
INSERT INTO `zhiyezhuang_tagindex` VALUES('333','制服工作服样式、工作','0','2','1','0','1','1339733039','1337807999','1328713728');
INSERT INTO `zhiyezhuang_tagindex` VALUES('334','13161','0','2','1','1','1','1335263525','1335263525','1328713816');
INSERT INTO `zhiyezhuang_tagindex` VALUES('335','价格','0','1490','13','79','629','1341560177','1339410100','1331510585');
INSERT INTO `zhiyezhuang_tagindex` VALUES('336','保安服','0','4','8','1','1','1334504228','1334504228','1330061419');
INSERT INTO `zhiyezhuang_tagindex` VALUES('337','新款','0','4','2','0','1','1339816845','1338436245','1331610868');
INSERT INTO `zhiyezhuang_tagindex` VALUES('338','北京','0','786','50','6','44','1341521350','1339383718','1330492884');
INSERT INTO `zhiyezhuang_tagindex` VALUES('339','产品供应北京购买职业','0','4','1','0','0','1341822004','1341822004','1328713929');
INSERT INTO `zhiyezhuang_tagindex` VALUES('340','供应职业装','0','1','1','0','0','1338065950','1338065950','1328713968');
INSERT INTO `zhiyezhuang_tagindex` VALUES('341','北京职业装订做','0','2','1','0','0','1340697188','1340697188','1328713968');
INSERT INTO `zhiyezhuang_tagindex` VALUES('342','上海厂','0','1','1','0','0','1337707101','1337707101','1328714024');
INSERT INTO `zhiyezhuang_tagindex` VALUES('343','工装','0','2','7','0','1','1338621718','1337878870','1341156126');
INSERT INTO `zhiyezhuang_tagindex` VALUES('344','批发','0','6','9','0','0','1341643313','1341643313','1330494380');
INSERT INTO `zhiyezhuang_tagindex` VALUES('345','图片','0','10','7','0','2','1341879408','1339495810','1330435742');
INSERT INTO `zhiyezhuang_tagindex` VALUES('346','上海职业装定','0','12','1','3','4','1341345832','1340432909','1328714048');
INSERT INTO `zhiyezhuang_tagindex` VALUES('347','供货商','0','4','1','1','1','1340863859','1340863859','1328714269');
INSERT INTO `zhiyezhuang_tagindex` VALUES('348','制造商','0','4','2','2','3','1338507449','1337484102','1329007432');
INSERT INTO `zhiyezhuang_tagindex` VALUES('349','生产商','0','8','2','1','2','1339117148','1337711311','1329256933');
INSERT INTO `zhiyezhuang_tagindex` VALUES('350','订做','0','1106','24','10','36','1341284888','1339988838','1330492750');
INSERT INTO `zhiyezhuang_tagindex` VALUES('351','启航','0','1','1','0','0','1335172611','1335172611','1328714310');
INSERT INTO `zhiyezhuang_tagindex` VALUES('352','厂家','0','1487','15','85','527','1341496305','1339876585','1330491579');
INSERT INTO `zhiyezhuang_tagindex` VALUES('353','定做','0','414','46','2','28','1341732815','1339910198','1341182814');
INSERT INTO `zhiyezhuang_tagindex` VALUES('354','职业套装','0','4','2','1','2','1340359977','1337864444','1329629502');
INSERT INTO `zhiyezhuang_tagindex` VALUES('355','办公','0','5','1','0','1','1339733278','1338267981','1328745396');
INSERT INTO `zhiyezhuang_tagindex` VALUES('356','制作','0','12','10','1','4','1341299089','1339391019','1330163246');
INSERT INTO `zhiyezhuang_tagindex` VALUES('357','9北京职业装定做','0','2','1','0','1','1338507642','1337430183','1328745420');
INSERT INTO `zhiyezhuang_tagindex` VALUES('358','北京西服定做','0','4','1','0','0','1340697185','1340697185','1328745420');
INSERT INTO `zhiyezhuang_tagindex` VALUES('359','北京工作服定做','0','6','1','2','3','1338540973','1337633977','1328745420');
INSERT INTO `zhiyezhuang_tagindex` VALUES('360','北京衬衫生产','0','8','1','2','2','1341687734','1341687734','1328745420');
INSERT INTO `zhiyezhuang_tagindex` VALUES('361','套装','0','4','4','0','0','1341643697','1341643697','1330236632');
INSERT INTO `zhiyezhuang_tagindex` VALUES('362','西装','0','312','13','5','17','1341519887','1340554123','1341182814');
INSERT INTO `zhiyezhuang_tagindex` VALUES('363','女士','0','4','6','0','1','1334888723','1332943472','1330492783');
INSERT INTO `zhiyezhuang_tagindex` VALUES('364','男士','0','2','5','0','0','1339707772','1339707772','1330493699');
INSERT INTO `zhiyezhuang_tagindex` VALUES('365','商务','0','4','6','1','2','1339731554','1339117079','1331476804');
INSERT INTO `zhiyezhuang_tagindex` VALUES('366','供应','0','1','14','0','0','1337403478','1337403478','1330056480');
INSERT INTO `zhiyezhuang_tagindex` VALUES('367','2011新款','0','1','1','0','0','1337565654','1337565654','1328745550');
INSERT INTO `zhiyezhuang_tagindex` VALUES('368','北京公路工作服北','0','2','1','0','0','1337522476','1337522476','1328746993');
INSERT INTO `zhiyezhuang_tagindex` VALUES('369','上海时尚职业装','0','6','1','0','0','1341916866','1341916866','1328747212');
INSERT INTO `zhiyezhuang_tagindex` VALUES('370','-','0','0','5','0','0','1328747249','1328747249','1330491487');
INSERT INTO `zhiyezhuang_tagindex` VALUES('371','上海网络营销','0','2','1','0','0','1340147337','1340147337','1328747249');
INSERT INTO `zhiyezhuang_tagindex` VALUES('372','，，，，西服','0','1','1','0','0','1337576336','1337576336','1328747307');
INSERT INTO `zhiyezhuang_tagindex` VALUES('373','北京西服','0','4','2','0','0','1338689218','1338689218','1330493004');
INSERT INTO `zhiyezhuang_tagindex` VALUES('374','天津西服','0','7','2','0','1','1341864709','1340431187','1330055999');
INSERT INTO `zhiyezhuang_tagindex` VALUES('375','上海西服，西服','0','1','1','0','0','1337483910','1337483910','1328747307');
INSERT INTO `zhiyezhuang_tagindex` VALUES('376','职','0','5','3','1','1','1337537085','1337537085','1331476472');
INSERT INTO `zhiyezhuang_tagindex` VALUES('377','天津职业装定做','0','4','1','0','0','1341690447','1341690447','1328747334');
INSERT INTO `zhiyezhuang_tagindex` VALUES('378','白领职业装','0','1','2','0','0','1337565723','1337565723','1329918067');
INSERT INTO `zhiyezhuang_tagindex` VALUES('379','韩版职业装设计','0','4','1','0','0','1337605172','1337605172','1328747334');
INSERT INTO `zhiyezhuang_tagindex` VALUES('380','优质职业装定做','0','5','1','0','0','1340692604','1340692604','1328747334');
INSERT INTO `zhiyezhuang_tagindex` VALUES('381','工作服1','0','2','1','0','0','1338505867','1338505867','1328747507');
INSERT INTO `zhiyezhuang_tagindex` VALUES('382','职业装设计','0','7','2','0','1','1341153013','1339041841','1332210408');
INSERT INTO `zhiyezhuang_tagindex` VALUES('383','010-81969557','0','0','1','0','0','1328747719','1328747719','1328747719');
INSERT INTO `zhiyezhuang_tagindex` VALUES('384','大兴大白楼','0','2','1','0','1','1339116772','1337778836','1328747719');
INSERT INTO `zhiyezhuang_tagindex` VALUES('385','深圳帝文制服','0','4','1','0','2','1339117136','1337537077','1328747880');
INSERT INTO `zhiyezhuang_tagindex` VALUES('386','职业装订做','0','7','3','0','2','1339707992','1338714013','1330492461');
INSERT INTO `zhiyezhuang_tagindex` VALUES('387','工作服订做','0','2','1','0','1','1339730461','1337808003','1328747880');
INSERT INTO `zhiyezhuang_tagindex` VALUES('388','制服订做','0','8','1','0','0','1341385155','1341385155','1328747880');
INSERT INTO `zhiyezhuang_tagindex` VALUES('389','供应上海工作服(图)','0','0','1','0','0','1328757761','1328757761','1328757761');
INSERT INTO `zhiyezhuang_tagindex` VALUES('390','上海工作服','0','7','6','0','0','1341864957','1341864957','1330493412');
INSERT INTO `zhiyezhuang_tagindex` VALUES('391','上海制服','0','4','2','0','0','1337551267','1337551267','1330060610');
INSERT INTO `zhiyezhuang_tagindex` VALUES('392','上海厂服','0','2','1','0','0','1340430639','1340430639','1328757761');
INSERT INTO `zhiyezhuang_tagindex` VALUES('393','女士职业装','0','3','1','0','0','1340521665','1340521665','1328758265');
INSERT INTO `zhiyezhuang_tagindex` VALUES('394','女性职业装','0','9','6','1','1','1338435429','1338435429','1341156126');
INSERT INTO `zhiyezhuang_tagindex` VALUES('395','天津雅泉工贸有限公司','0','4','1','0','1','1341150946','1338858880','1328758361');
INSERT INTO `zhiyezhuang_tagindex` VALUES('396','成立','0','11','4','0','0','1341473630','1341473630','1337658788');
INSERT INTO `zhiyezhuang_tagindex` VALUES('397','中心','0','4','6','0','0','1340362952','1340362952','1337658788');
INSERT INTO `zhiyezhuang_tagindex` VALUES('398','品牌推广','0','3','6','0','0','1340865741','1340865741','1330695066');
INSERT INTO `zhiyezhuang_tagindex` VALUES('399','知名','0','5','5','1','2','1340859363','1338435952','1330695066');
INSERT INTO `zhiyezhuang_tagindex` VALUES('400','启动','0','3','2','0','0','1340858712','1340858712','1329629399');
INSERT INTO `zhiyezhuang_tagindex` VALUES('401','运营','0','6','2','0','1','1341643913','1340265158','1340071810');
INSERT INTO `zhiyezhuang_tagindex` VALUES('402','贸易','0','6','2','0','0','1341646618','1341646618','1329051009');
INSERT INTO `zhiyezhuang_tagindex` VALUES('403','自助','0','3','1','0','2','1340360192','1337893272','1328775311');
INSERT INTO `zhiyezhuang_tagindex` VALUES('404','产品','0','5','1','1','1','1338621571','1338621571','1328775311');
INSERT INTO `zhiyezhuang_tagindex` VALUES('405','微博','0','4','1','0','0','1340854434','1340854434','1328775355');
INSERT INTO `zhiyezhuang_tagindex` VALUES('406','搜狐微博','0','2','1','0','0','1340528859','1340528859','1328775355');
INSERT INTO `zhiyezhuang_tagindex` VALUES('407','搜狐围脖','0','5','1','0','0','1337551323','1337551323','1328775355');
INSERT INTO `zhiyezhuang_tagindex` VALUES('408','名人','0','5','1','1','1','1339707762','1339707762','1328775355');
INSERT INTO `zhiyezhuang_tagindex` VALUES('409','天津东升制衣有限公司','0','2','1','1','1','1337633962','1337633962','1328775462');
INSERT INTO `zhiyezhuang_tagindex` VALUES('410','北京女装/女鞋','0','0','1','0','0','1328775521','1328775521','1328775521');
INSERT INTO `zhiyezhuang_tagindex` VALUES('411','加工','0','1','6','0','0','1335263495','1335263495','1330493801');
INSERT INTO `zhiyezhuang_tagindex` VALUES('412','采购','0','1','1','0','0','1335172366','1335172366','1328775740');
INSERT INTO `zhiyezhuang_tagindex` VALUES('413','供应商','0','2','3','0','1','1339817963','1337725711','1341538427');
INSERT INTO `zhiyezhuang_tagindex` VALUES('414','出口','0','5','1','1','2','1339707507','1337749155','1328775740');
INSERT INTO `zhiyezhuang_tagindex` VALUES('415','休闲服','0','5','2','0','1','1339732506','1337939465','1329982549');
INSERT INTO `zhiyezhuang_tagindex` VALUES('416','促销服','0','8','3','0','3','1340879831','1339116761','1331476521');
INSERT INTO `zhiyezhuang_tagindex` VALUES('417','大众','0','2','2','0','1','1338621625','1337605175','1330494380');
INSERT INTO `zhiyezhuang_tagindex` VALUES('418','工作','0','4','4','0','2','1340554089','1339707618','1330493445');
INSERT INTO `zhiyezhuang_tagindex` VALUES('419','装饰件','0','2','1','0','0','1341686804','1341686804','1328776122');
INSERT INTO `zhiyezhuang_tagindex` VALUES('420','海商','0','3','1','0','0','1340733335','1340733335','1328776122');
INSERT INTO `zhiyezhuang_tagindex` VALUES('421','|定做西服|','0','0','1','0','0','1328776158','1328776158','1328776158');
INSERT INTO `zhiyezhuang_tagindex` VALUES('422','西服-','0','0','3','0','0','1328776275','1328776275','1330060721');
INSERT INTO `zhiyezhuang_tagindex` VALUES('423','西服定制观奇洋服','0','2','2','0','0','1341643714','1341643714','1330348907');
INSERT INTO `zhiyezhuang_tagindex` VALUES('424','定制优惠!','0','0','1','0','0','1328776275','1328776275','1328776275');
INSERT INTO `zhiyezhuang_tagindex` VALUES('425','生产','0','4','2','0','0','1341643619','1341643619','1329252455');
INSERT INTO `zhiyezhuang_tagindex` VALUES('426','西','0','3','1','0','0','1340854151','1340854151','1328776299');
INSERT INTO `zhiyezhuang_tagindex` VALUES('427','西服定做','0','2','1','0','0','1339816811','1339816811','1328776376');
INSERT INTO `zhiyezhuang_tagindex` VALUES('428','工作服印字上海工作服','0','2','1','0','1','1339730650','1337590736','1328776575');
INSERT INTO `zhiyezhuang_tagindex` VALUES('429','松江','0','3','1','1','1','1337648386','1337648386','1328776622');
INSERT INTO `zhiyezhuang_tagindex` VALUES('430','浦东','0','4','1','2','2','1338506533','1338506533','1328776622');
INSERT INTO `zhiyezhuang_tagindex` VALUES('431','宝山','0','3','1','0','0','1337725732','1337725732','1328776622');
INSERT INTO `zhiyezhuang_tagindex` VALUES('432','沙发','0','5','1','0','0','1341643426','1341643426','1328795388');
INSERT INTO `zhiyezhuang_tagindex` VALUES('433','西餐厅','0','3','2','1','1','1339707909','1339707909','1329627997');
INSERT INTO `zhiyezhuang_tagindex` VALUES('434','各类','0','8','1','0','0','1341645525','1341645525','1328795388');
INSERT INTO `zhiyezhuang_tagindex` VALUES('435','家具厂','0','5','1','1','2','1334780719','1333625879','1328795388');
INSERT INTO `zhiyezhuang_tagindex` VALUES('436','咖啡厅','0','9','1','1','2','1341633180','1340263652','1328795388');
INSERT INTO `zhiyezhuang_tagindex` VALUES('437','s11、职业装','0','5','1','0','0','1341153295','1341153295','1328796260');
INSERT INTO `zhiyezhuang_tagindex` VALUES('438','s11价格报价、北京','0','3','1','1','2','1337483959','1335072158','1328796260');
INSERT INTO `zhiyezhuang_tagindex` VALUES('439','大兴职业装','0','2','1','0','1','1339707523','1337493790','1328796260');
INSERT INTO `zhiyezhuang_tagindex` VALUES('440','s','0','5','1','0','0','1341153317','1341153317','1328796260');
INSERT INTO `zhiyezhuang_tagindex` VALUES('441','秘书长','0','2','1','0','0','1337522531','1337522531','1328973381');
INSERT INTO `zhiyezhuang_tagindex` VALUES('442','博览会','0','2','2','0','0','1340697199','1340697199','1329198305');
INSERT INTO `zhiyezhuang_tagindex` VALUES('443','中国制造网供应商','0','5','1','0','0','1337493764','1337493764','1329007432');
INSERT INTO `zhiyezhuang_tagindex` VALUES('444','浦东上海保安制服、','0','5','1','0','0','1341688332','1341688332','1329007505');
